SAMPLE,LOCATION,TYPE,LENGTH (cm),WIDTH (cm),THICKNESS (cm),WEIGHT (g),CORTEX,RETOUCH,COLOUR,Source (Sr),Source ((Fe),Early,,,,,,,,,,,,
KPN 96,KAUPOKONUI,Flake,37.8,41.9,8.4,9,N,N,Green,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 97,KAUPOKONUI,Flake,39.8,25.8,5.7,3,N,N,Grey,Cooks Bay,Hahei,Y,,,,,,,,,,,,
KPN 98,KAUPOKONUI,Flake,24,43.3,9.6,9,N,N,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 99,KAUPOKONUI,Core,39.7,40,17.3,24,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 100,KAUPOKONUI,Flake,35.5,21.8,5.7,6,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 101,KAUPOKONUI,Flake,28.4,41,4.4,4,N,N,Green,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 102,KAUPOKONUI,Debitage,35,21,3.5,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 103,KAUPOKONUI,Flake,22.3,33.7,4.3,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 104,KAUPOKONUI,Flake,26.4,25.3,8.1,5,N,N,Grey,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 105,KAUPOKONUI,Flake,32.9,53.3,4.8,11,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KPN 106,KAUPOKONUI,Flake,30.6,10.7,5.6,1,N,N,Red,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 107,KAUPOKONUI,Flake,19.8,13.5,2.7,1,N,N,Red,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KPN 108,KAUPOKONUI,Flake,19.3,15.9,4.1,1,N,N,Red,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
KP1,KUMARA PATCH,Flake,30.5,35.5,6.7,8,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KP2,KUMARA PATCH,Flake,34.6,36.1,6.7,4,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
